"NroEnc";"Género";"Edad";"Carrera";"Semestre";"Estrato";"PromAcad";"Tmpo_U";"Hora_U";"H01_Casa";"H02_Notas_lin";"H03_Horario";"H04_Musica";"H05_Lugar_Fijo";"H06_Lee";"H07_TemasDif";"H08_Amigos";"H09_Pausas";"H10_Trasnocha";"H11_Subraya";"H12_Duerma_bien";"H13_Margen";"H14_Memoriza";"H15_Solucionario";"H16_ResuelveSolo"
1;"Masculino";19;"Estadística";2;4;4;40;07:40:00;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1
2;"Femenino";21;"Estadística";2;4;3,9;30;05:50:00;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0
3;"Femenino";21;"Estadística";2;2;3,8;15;08:00:00;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;1
4;"Masculino";19;"Estadística";2;4;3,6;15;06:10:00;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1
5;"Masculino";19;"Estadística";2;1;4;15;07:35:00;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1
6;"Masculino";20;"Estadística";3;2;3,4;20;08:05:00;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0
7;"Masculino";19;"Ing. Sistemas ";4;3;3,6;25;05:40:00;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1
8;"Masculino";18;"Estadística";2;3;3,8;60;06:00:00;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
9;"Masculino";18;"Estadística";2;3;3,1;30;08:15:00;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1
10;"Masculino";20;"Ing. Sistemas ";3;4;3,3;20;07:43:00;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1
11;"Femenino";18;"Estadística";2;4;3,6;10;06:00:00;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;1
12;"Masculino";19;"Ing. Sistemas ";3;3;3,8;75;08:05:00;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1
13;"Femenino";18;"Estadística";2;3;3,9;35;08:02:00;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1
14;"Masculino";20;"Ing. Sistemas ";5;2;3,1;40;07:55:00;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;0
15;"Masculino";19;"Ing. Sistemas ";5;3;3,3;55;08:10:00;1;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1
16;"Masculino";18;"Estadística";2;2;3,6;43;07:46:00;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0
17;"Femenino";18;"Estadística";2;2;4;30;05:50:00;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1
18;"Masculino";17;"Estadística";2;2;3,9;60;07:50:00;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1
19;"Masculino";19;"Ing. Sistemas ";4;3;3,4;35;05:50:00;1;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1
20;"Masculino";18;"Ing. Sistemas ";3;4;3,6;10;07:30:00;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1
21;"Femenino";19;"Estadística";4;3;4,5;60;05:57:00;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1
22;"Femenino";16;"Estadística";2;3;4,1;20;06:05:00;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1
23;"Masculino";25;"Ing. Sistemas ";4;3;3,5;50;05:57:00;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1
24;"Femenino";22;"Ing. Sistemas ";10;3;4,3;30;06:00:00;1;1;0;1;1;0;1;0;0;0;1;0;1;0;1;1
25;"Masculino";26;"Ing. Sistemas ";4;1;3,2;35;08:10:00;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1
26;"Masculino";17;"Estadística";2;2;4;30;05:45:00;1;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1
27;"Femenino";20;"Estadística";4;3;3,6;25;07:50:00;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1
28;"Femenino";21;"Ing. Sistemas ";2;1;3,9;40;05:08:00;1;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1
29;"Masculino";20;"Estadística";2;2;4,2;60;07:50:00;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;1
30;"Masculino";22;"Ing. Sistemas ";2;2;3,3;15;07:55:00;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1
31;"Femenino";18;"Estadística";2;3;4;15;06:00:00;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1
32;"Masculino";18;"Ing. Sistemas ";2;2;3,4;30;07:50:00;1;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0
33;"Femenino";20;"Estadística";2;3;3,7;30;06:00:00;1;0;0;0;1;1;1;0;1;0;0;1;0;0;0;1
34;"Femenino";18;"Ing. Sistemas ";2;3;3,9;10;05:45:00;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1
35;"Masculino";17;"Estadística";2;4;3,4;15;05:44:00;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1
36;"Masculino";19;"Estadística";2;3;4;35;07:45:00;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1
37;"Masculino";17;"Ing. Sistemas ";2;1;4,3;;05:30:00;1;1;1;0;1;1;0;0;1;0;0;1;1;1;1;1
38;"Masculino";20;"Estadística";3;4;2,7;40;05:55:00;1;1;0;1;0;1;1;1;1;0;0;1;1;1;0;1
39;"Femenino";17;"Estadística";2;4;4,4;10;05:45:00;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1
40;"Masculino";19;"Estadística";2;3;4;30;07:50:00;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1
41;"Femenino";18;"Ing. Sistemas ";2;4;4;50;08:05:00;1;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1
42;"Femenino";17;"Estadística";2;4;4,1;30;05:50:00;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1
43;"Masculino";18;"Estadística";2;2;4,1;50;07:45:00;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1
44;"Masculino";18;"Ing. Sistemas ";2;4;3,5;12;06:03:00;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1
45;"Masculino";21;"Estadística";2;3;3,4;3;05:55:00;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1
46;"Masculino";21;"Ing. Sistemas ";2;4;4;8;06:10:00;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1
47;"Femenino";21;"Estadística";2;1;4;40;07:15:00;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;1
48;"Masculino";17;"Estadística";2;3;3,2;15;05:40:00;1;0;0;0;1;1;0;0;1;0;1;1;1;1;1;0
49;"Masculino";18;"Estadística";2;2;3,6;25;05:40:00;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1
50;"Masculino";18;"Ing. Sistemas ";3;4;4,2;10;05:54:00;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1
51;"Masculino";26;"Estadística";2;3;4,7;20;06:00:00;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1
52;"Masculino";18;"Ing. Sistemas ";3;3;3,5;40;07:40:00;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1
53;"Masculino";19;"Ing. Sistemas ";3;3;3,4;20;05:50:00;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1
54;"Masculino";18;"Estadística";2;2;4,5;45;05:45:00;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1
55;"Masculino";17;"Estadística";2;4;3,7;15;06:06:00;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1
56;"Masculino";17;"Ing. Sistemas ";3;3;3,8;15;07:45:00;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1
57;"Masculino";22;"Ing. Sistemas ";4;2;3,6;35;05:50:00;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0
59;"Femenino";19;"Estadística";2;3;4,3;60;08:00:00;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1
60;"Masculino";24;"Ing. Sistemas ";3;3;3,3;35;07:45:00;1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1
61;"Masculino";17;"Estadística";2;3;3,8;45;07:49:00;1;1;0;0;1;1;0;1;1;0;1;1;0;1;0;1
62;"Masculino";24;"Ing. Sistemas ";4;1;3,6;20;07:50:00;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1
63;"Masculino";17;"Ing. Sistemas ";3;3;4,1;25;07:51:00;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;1
64;"Masculino";21;"Ing. Sistemas ";9;2;3,2;25;07:55:00;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1
65;"Masculino";19;"Ing. Sistemas ";2;3;3,5;25;08:06:00;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;1
66;"Masculino";19;"Ing. Sistemas ";6;1;4,1;;08:10:00;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1
67;"Masculino";18;"Ing. Sistemas ";3;3;3;15;07:45:00;1;0;1;0;0;1;0;1;1;1;0;0;1;1;1;0
68;"Femenino";23;"Ing. Sistemas ";3;2;3,9;20;08:25:00;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1
